query_num_results_total	query_num_results_page	query_page_number	query	serp_rank	serp_type	serp_url	serp_rating	serp_title	serp_domain	serp_visible_link	serp_snippet	serp_sitelinks	screenshot
0	20	1	gêne respiratoire	1	results	https://www.revmed.ch/RMS/2015/RMS-N-491/Docteur-j-ai-de-la-peine-a-respirer-perspective-hospitaliere		«Docteur, j'ai de la peine à respirer»: perspective hospitalière ...www.revmed.ch › RMS › RMS-N-491 › Docteur-j-ai-d...	www.revmed.ch	www.revmed.ch › RMS › RMS-N-491 › Docteur-j-ai-d...	La dyspnée est définie comme un symptôme, soit une sensation à la fois sensorielle et émotionnelle, de respiration difficile et inconfortable [1]. L'intensité de la ...		/tmp/screenshots/2020-09-17/google_gêne respiratoire-p1.png
0	20	1	gêne respiratoire	2	results	https://www.topsante.com/Landing-Pages/gene-respiratoire-tout-savoir		Gêne respiratoire : quels symptômes ? - Top Santéwww.topsante.com › Landing Pages	www.topsante.com	www.topsante.com › Landing Pages	Il s'agit d'une difficulté récurrente à respirer pleinement. Il existe deux sortes de gênes respiratoires : la dyspnée inspiratoire ...		/tmp/screenshots/2020-09-17/google_gêne respiratoire-p1.png
0	20	1	gêne respiratoire	3	results	https://www.passeportsante.net/fr/Maux/Symptomes/Fiche.aspx?doc=difficulte-respirer-symptome		Difficultés à respirer : que faire quand on a du mal à respirer ?www.passeportsante.net › Maux › Symptomes › Fiche	www.passeportsante.net	www.passeportsante.net › Maux › Symptomes › Fiche	Plus précisément, la cage thoracique se relâche et devient instable, accompagnée d'un effondrement des voies respiratoires, à savoir une respiration difficile. Les ...		/tmp/screenshots/2020-09-17/google_gêne respiratoire-p1.png
0	20	1	gêne respiratoire	4	results	https://www.planetesante.ch/Magazine/Autour-de-la-maladie/Asthme/Detresse-respiratoire-de-quoi-on-parle		Détresse respiratoire: de quoi on parle? - Planete santewww.planetesante.ch › Autour-de-la-maladie › Asthme	www.planetesante.ch	www.planetesante.ch › Autour-de-la-maladie › Asthme	26 juil. 2017 - Toute sensation de respiration difficile est qualifiée de détresse respiratoire. L'essoufflement, pouvant aller jusqu'à la détresse respiratoire, ...		/tmp/screenshots/2020-09-17/google_gêne respiratoire-p1.png
0	20	1	gêne respiratoire	5	results	https://www.femmeactuelle.fr/sante/news-sante/coronavirus-comment-savoir-si-je-souffre-de-gene-respiratoire-2093025		Gêne respiratoire : la méthode des médecins pour savoir si ...www.femmeactuelle.fr › Santé › News Santé	www.femmeactuelle.fr	www.femmeactuelle.fr › Santé › News Santé	30 mars 2020 - La gêne respiratoire fait partie des symptômes du coronavirus. Un médecin a dévoilé deux tests simples à réaliser pour identifier ces troubles ...		/tmp/screenshots/2020-09-17/google_gêne respiratoire-p1.png
0	20	1	gêne respiratoire	6	results	https://sante.journaldesfemmes.fr/fiches-maladies/2557274-dyspnee-difficultes-a-respirer-que-faire-coronavirus/		Difficultés à respirer : que faire, un signe de coronavirus ?sante.journaldesfemmes.fr › ... › Pneumologie	sante.journaldesfemmes.fr	sante.journaldesfemmes.fr › ... › Pneumologie	18 mars 2020 - Aussi appelée essoufflement, la dyspnée se traduit par une sensation de gêne respiratoire et des difficultés à inspirer et à expirer. C'est le ...		/tmp/screenshots/2020-09-17/google_gêne respiratoire-p1.png
0	20	1	gêne respiratoire	7	results	https://www.msdmanuals.com/fr/accueil/troubles-pulmonaires-et-des-voies-a%C3%A9riennes/sympt%C3%B4mes-des-maladies-respiratoires/essoufflement		Essoufflement - Troubles pulmonaires et des voies aériennes ...www.msdmanuals.com › accueil › essoufflement	www.msdmanuals.com	www.msdmanuals.com › accueil › essoufflement	... mais cette augmentation n'entraîne pas de sensation de gêne. La fréquence respiratoire peut également augmenter au repos chez des personnes atteintes ...		/tmp/screenshots/2020-09-17/google_gêne respiratoire-p1.png
0	20	1	gêne respiratoire	8	results	https://sante.lefigaro.fr/sante/symptome/essoufflement-dyspnee/quest-ce-que-cest		Essoufflement Dyspnée - Qu'est-ce que c'est ? - Fiches santé ...sante.lefigaro.fr › ... › Essoufflement Dyspnée	sante.lefigaro.fr	sante.lefigaro.fr › ... › Essoufflement Dyspnée	Dès que chaque mouvement respiratoire devient un effort, la sensation d'inconfort s'installe et respirer devient une souffrance. C'est cette gêne respiratoire que ...		/tmp/screenshots/2020-09-17/google_gêne respiratoire-p1.png
0	20	1	gêne respiratoire	9	results	http://www.centre-paul-strauss.fr/sites/default/files/documents/documentation/fiche_la_gene_respiratoir_proteger.pdf		la gêne respiratoire - Centre Paul Strausswww.centre-paul-strauss.fr › documents › documentation	www.centre-paul-strauss.fr	www.centre-paul-strauss.fr › documents › documentation	Ouvrir les fenêtres, utiliser un ventilateur : une atmosphère fraîche peut vous aider à mieux respirer. Mettre un linge humide sur votre front, utiliser un ...		/tmp/screenshots/2020-09-17/google_gêne respiratoire-p1.png
0	20	1	gêne respiratoire	10	results	https://www.youtube.com/watch?v=g_kUpHN9hKc		Coronavirus : comment savoir si votre gêne ... - YouTubewww.youtube.com › watch	www.youtube.com	www.youtube.com › watch	30 mars 2020 - L'un des symptômes les plus répandus du coronavirus est une gêne respiratoire. Mais à partir de quand faut-il s'inquiéter ? Suivez les conseils ...		/tmp/screenshots/2020-09-17/google_gêne respiratoire-p1.png
0	20	1	gêne respiratoire	11	results	https://www.santemagazine.fr/sante/maladies/maladies-appareil-respiratoire/reperer-et-soigner-les-maladies-respiratoires-170706		Repérer et soigner les maladies respiratoires | Santé Magazinewww.santemagazine.fr › maladies-appareil-respiratoire	www.santemagazine.fr	www.santemagazine.fr › maladies-appareil-respiratoire	8 juin 2020 - Infections, abcès, tumeurs… peuvent toucher notre appareil respiratoire. On sait en soigner un grand nombre. Comment les reconnaître et les ...		/tmp/screenshots/2020-09-17/google_gêne respiratoire-p1.png
0	20	1	gêne respiratoire	12	results	https://www.liguepulmonaire.ch/fr/preserver-les-poumons/connaissances/poumons-et-voies-respiratoires.html		Poumons et voies respiratoires - Ligue pulmonaire Suissewww.liguepulmonaire.ch › connaissances › poumons-et...	www.liguepulmonaire.ch	www.liguepulmonaire.ch › connaissances › poumons-et...	Aspiré lors de respiration normale par le nez, l'air purifié et préchauffé afflue dans la trachée. Ici, il est d'abord grossièrement filtré par des poils. De très fines ...		/tmp/screenshots/2020-09-17/google_gêne respiratoire-p1.png
0	20	1	gêne respiratoire	13	results	https://www.europe1.fr/sante/coronavirus-comment-savoir-si-votre-gene-respiratoire-necessite-une-prise-en-charge-3958730		Coronavirus : comment savoir si votre gêne ... - Europe 1www.europe1.fr › sante › coronavirus-comment-savoir...	www.europe1.fr	www.europe1.fr › sante › coronavirus-comment-savoir...	30 mars 2020 - Le docteur Jimmy Mohamed, médecin et chroniqueur d'Europe 1, nous explique deux tests simples à faire chez soi. Mesurer sa fréquence ...		/tmp/screenshots/2020-09-17/google_gêne respiratoire-p1.png
0	20	1	gêne respiratoire	14	results	https://www.liberation.fr/france/2020/04/17/gene-respiratoire-comment-se-reeduquer-apres-le-covid_1785574		Gêne respiratoire : comment se rééduquer après le Covid ...www.liberation.fr › france › 2020/04/17 › gene-respira...	www.liberation.fr	www.liberation.fr › france › 2020/04/17 › gene-respira...	17 avr. 2020 - Médecin hospitalier et expert près de la cour d'appel de Paris, le docteur P. Vasseur a été infecté par le coronavirus dont il a développé une ...		/tmp/screenshots/2020-09-17/google_gêne respiratoire-p1.png
0	20	1	gêne respiratoire	15	results	https://www.allergienet.com/gene-respiratoire-asthme-ou/		Gêne respiratoire, asthme ou ? | Allergienet.comwww.allergienet.com › gene-respiratoire-asthme-ou	www.allergienet.com	www.allergienet.com › gene-respiratoire-asthme-ou	11 avr. 2019 - Principales causes de toux et gênes respiratoires chroniques chez l'enfant : asthme,. toux équivalente d'asthme,. infections ORL répétées,.		/tmp/screenshots/2020-09-17/google_gêne respiratoire-p1.png
0	20	1	gêne respiratoire	16	results	https://www.havea.com/guides-sante/troubles-respiratoires.html		Troubles respiratoires | Havea.comwww.havea.com › Guides santé	www.havea.com	www.havea.com › Guides santé	Difficulté à respirer, asthme, insuffisance respiratoire : il existe plusieurs types de maladies et troubles respiratoires aux symptômes différents (toux, ...		/tmp/screenshots/2020-09-17/google_gêne respiratoire-p1.png
0	20	1	gêne respiratoire	17	results	https://fr.wikipedia.org/wiki/Dyspn%C3%A9e		Dyspnée — Wikipédiafr.wikipedia.org › wiki › Dyspnée	fr.wikipedia.org	fr.wikipedia.org › wiki › Dyspnée	La dyspnée est une gêne respiratoire ressentie par le patient. Elle doit être distinguée d'une détresse respiratoire ou d'une insuffisance respiratoire dont elle ...		/tmp/screenshots/2020-09-17/google_gêne respiratoire-p1.png
0	20	1	gêne respiratoire	18	results	http://www.medecine.ups-tlse.fr/dcem4/module11/urgence/193a_detresse_respiratoire_enfant.pdf		Détresse respiratoire du nourrisson et de l'enfantwww.medecine.ups-tlse.fr › module11 › urgence › 193...	www.medecine.ups-tlse.fr	www.medecine.ups-tlse.fr › module11 › urgence › 193...	La détresse respiratoire est urgence fréquente et angoissante en pratique quotidienne. Elle impose d'en reconnaître la cause par une analyse méthodique rapide, ...		/tmp/screenshots/2020-09-17/google_gêne respiratoire-p1.png
0	20	1	gêne respiratoire	19	results	https://www.chuv.ch/fr/pneumologie/pne-home/patients-et-familles/therapies-respiratoires/traitements-pharmacologiques		Traitements pharmacologiques - Service de pneumologie ...www.chuv.ch › pne-home › therapies-respiratoires › tra...	www.chuv.ch	www.chuv.ch › pne-home › therapies-respiratoires › tra...	23 juin 2020 - Plusieurs traitements pharmacologiques peuvent vous être prescrits pour le traitement d'une maladie respiratoire. Bronchodilatateurs		/tmp/screenshots/2020-09-17/google_gêne respiratoire-p1.png
0	20	1	gêne respiratoire	20	results	https://ramsaygds.fr/actualites/lapres-covid-19-des-sequelles-sur-le-systeme-respiratoire		L'après Covid-19 : des séquelles sur le système respiratoire ...ramsaygds.fr › actualites › lapres-covid-19-des-sequelle...	ramsaygds.fr	ramsaygds.fr › actualites › lapres-covid-19-des-sequelle...	28 mai 2020 - Le Covid-19 est une affection qui touche principalement les poumons. Difficultés respiratoires, fièvre, courbatures, ces symptômes sont ...		/tmp/screenshots/2020-09-17/google_gêne respiratoire-p1.png
0	23	1	mal à respirer	1	results	https://www.passeportsante.net/fr/Maux/Symptomes/Fiche.aspx?doc=difficulte-respirer-symptome		Difficultés à respirer : que faire quand on a du mal à respirer ?www.passeportsante.net › Maux › Symptomes › Fiche › d...	www.passeportsante.net	www.passeportsante.net › Maux › Symptomes › Fiche › d...			/tmp/screenshots/2020-09-17/google_mal à respirer-p1.png
0	23	1	mal à respirer	3	results	https://sante.journaldesfemmes.fr/fiches-maladies/2626931-syndrome-de-detresse-respiratoire-aigue-sdra-symptomes-causes-traitement-position-ventre/		Syndrome de détresse respiratoire aiguë : symptômes, causes ...sante.journaldesfemmes.fr › fiches-maladies › 2626931-s...	sante.journaldesfemmes.fr	sante.journaldesfemmes.fr › fiches-maladies › 2626931-s...			/tmp/screenshots/2020-09-17/google_mal à respirer-p1.png
